sector,alojamiento_formal,gastronomia_bar,vivienda_turistica,avaluo_ph_m2,total_puntos,vt_2023,crecimiento_pct,pct_vivienda_turistica,pct_alojamiento_formal,pct_gastronomia_bar,intensidad_vt,pct_fuera_zit,cluster_id,nodo,perfil
0,1,1,7,5503741.97,9,0.0,700.0,77.8,11.1,11.1,2.0794415416798357,71.42857142857143,4,0-7,Núcleo turístico consolidado
ACACIAS USAQUEN,0,0,13,3900280.1625,13,11.0,16.7,100.0,0.0,0.0,2.6390573296152584,100.0,0,3-5,Foco turístico emergente
ALCAZARES,1,0,114,2453348.8403333332,115,108.0,5.5,99.1,0.9,0.0,4.74493212836325,0.0,0,0-4,Foco turístico emergente
ALFONSO LOPEZ,1,0,37,4450600.1899999995,38,29.0,26.7,97.4,2.6,0.0,3.6375861597263857,94.5945945945946,0,2-5,Foco turístico emergente
ANDES NORTE,0,0,4,5502180.346666667,4,2.0,66.7,100.0,0.0,0.0,1.6094379124341003,100.0,0,4-6,Foco turístico emergente
ANTIGUO COUNTRY,1,0,124,4971290.234197531,125,69.0,78.6,99.2,0.8,0.0,4.8283137373023015,78.2258064516129,0,1-6,Foco turístico emergente
ARMENIA,4,0,36,3398296.24,40,47.0,-22.9,90.0,10.0,0.0,3.6109179126442243,100.0,0,2-4,Foco turístico emergente
ATENAS,0,0,4,3424607.84,4,5.0,-16.7,100.0,0.0,0.0,1.6094379124341003,100.0,3,5-3,"Residencial ordinario, sin presión turística"
AUTOPISTA MEDELLIN,0,1,3,3398296.24,4,3.0,0.0,75.0,0.0,25.0,1.3862943611198906,100.0,5,2-1,"Residencial ordinario, sin presión turística"
AUTOPISTA SUR,0,0,3,3239166.03,3,0.0,300.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,7-2,"Residencial ordinario, sin presión turística"
BANCO CENTRAL,1,0,22,5037340.77,23,9.0,130.0,95.7,4.3,0.0,3.1354942159291497,72.72727272727273,0,2-6,Foco turístico emergente
BAQUERO,1,0,6,3226729.875,7,5.0,16.7,85.7,14.3,0.0,1.9459101490553132,100.0,1,6-4,"Residencial ordinario, sin presión turística"
BARRANCAS,0,0,5,2904987.565,5,3.0,50.0,100.0,0.0,0.0,1.791759469228055,100.0,3,6-1,"Residencial ordinario, sin presión turística"
BATAN,0,1,29,4689800.248461539,30,22.0,30.4,96.7,0.0,3.3,3.4011973816621555,100.0,0,2-6,Foco turístico emergente
BAVARIA,0,1,3,2851384.62,4,2.0,33.3,75.0,0.0,25.0,1.3862943611198906,100.0,5,2-1,"Residencial ordinario, sin presión turística"
BELALCAZAR,3,0,25,5246996.039090909,28,11.0,116.7,89.3,10.7,0.0,3.258096538021482,88.0,0,3-7,Foco turístico emergente
BELEN,0,0,3,3398296.24,3,4.0,-20.0,100.0,0.0,0.0,1.3862943611198906,0.0,3,5-3,"Residencial ordinario, sin presión turística"
BELLA SUIZA,2,0,26,4530342.894347826,28,15.0,68.8,92.9,7.1,0.0,3.295836866004329,100.0,0,2-6,Foco turístico emergente
BELLAVISTA,3,0,11,3996064.9257142856,14,12.0,-7.7,78.6,21.4,0.0,2.4849066497880004,100.0,0,4-7,Foco turístico emergente
BELLAVISTA OCCIDENTAL,0,0,5,3404241.4566666665,5,0.0,500.0,100.0,0.0,0.0,1.791759469228055,100.0,3,8-3,"Residencial ordinario, sin presión turística"
BENJAMIN HERRERA,1,0,2,5462595.38,3,0.0,200.0,66.7,33.3,0.0,1.0986122886681098,100.0,0,5-8,Foco turístico emergente
BOCHICA,1,0,2,3100110.86,3,0.0,200.0,66.7,33.3,0.0,1.0986122886681098,100.0,1,8-5,"Residencial ordinario, sin presión turística"
BOCHICA II,0,2,1,3398296.24,3,2.0,-33.3,33.3,0.0,66.7,0.6931471805599453,100.0,2,1-0,"Gastronomía / vida local, sin presión turística"
BOLIVIA,0,1,6,1877162.32,7,7.0,-12.5,85.7,0.0,14.3,1.9459101490553132,100.0,5,4-0,"Residencial ordinario, sin presión turística"
BONANZA,0,2,5,3398296.24,7,4.0,20.0,71.4,0.0,28.6,1.791759469228055,100.0,5,2-1,"Residencial ordinario, sin presión turística"
BOSQUE CALDERON,5,0,19,4586814.03,24,28.0,-31.0,79.2,20.8,0.0,2.995732273553991,100.0,0,4-7,Foco turístico emergente
BOSQUE DE MODELIA,0,0,3,2724577.0700000003,3,2.0,33.3,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-1,"Residencial ordinario, sin presión turística"
BOSQUE DE PINOS III,0,1,57,3175721.56,58,2.0,1833.3,98.3,0.0,1.7,4.060443010546419,100.0,4,0-8,Núcleo turístico consolidado
BOSQUE POPULAR,2,0,14,3493520.265,16,10.0,36.4,87.5,12.5,0.0,2.70805020110221,100.0,0,2-4,Foco turístico emergente
BOYACA,1,0,4,3267248.23,5,3.0,25.0,80.0,20.0,0.0,1.6094379124341003,100.0,1,6-5,"Residencial ordinario, sin presión turística"
BRISAS ALDEA FONTIBON,0,0,5,3398296.24,5,2.0,100.0,100.0,0.0,0.0,1.791759469228055,100.0,3,6-3,"Residencial ordinario, sin presión turística"
BRITALIA,0,2,21,2771401.1799999997,23,13.0,57.1,91.3,0.0,8.7,3.091042453358316,100.0,0,3-3,Foco turístico emergente
CAMPANELLA,0,0,3,3398296.24,3,1.0,100.0,100.0,0.0,0.0,1.3862943611198906,100.0,3,6-2,"Residencial ordinario, sin presión turística"
CAMPIN,0,0,7,3467959.93,7,5.0,33.3,100.0,0.0,0.0,2.0794415416798357,100.0,3,5-4,"Residencial ordinario, sin presión turística"
CAMPIN OCCIDENTAL,4,0,25,4301332.6308695655,29,6.0,271.4,86.2,13.8,0.0,3.258096538021482,100.0,0,1-7,Foco turístico emergente
CANTAGALLO,0,1,13,3355594.99,14,17.0,-22.2,92.9,0.0,7.1,2.6390573296152584,100.0,0,3-2,Foco turístico emergente
CAOBOS SALAZAR,0,1,20,3567520.05,21,20.0,0.0,95.2,0.0,4.8,3.044522437723423,100.0,0,3-4,Foco turístico emergente
CAPELLANIA,0,0,31,4030546.6025,31,15.0,100.0,100.0,0.0,0.0,3.4657359027997265,100.0,0,2-5,Foco turístico emergente
CASTILLA,0,0,4,3398296.24,4,2.0,66.7,100.0,0.0,0.0,1.6094379124341003,100.0,3,6-2,"Residencial ordinario, sin presión turística"
CATALUNA,1,0,5,4551025.64,6,3.0,50.0,83.3,16.7,0.0,1.791759469228055,100.0,0,5-6,Foco turístico emergente
CEDRITOS,0,1,23,3282718.65,24,28.0,-17.2,95.8,0.0,4.2,3.1780538303479458,100.0,0,3-4,Foco turístico emergente
CEDRO NARVAEZ,0,0,5,3665151.9159999997,5,3.0,50.0,100.0,0.0,0.0,1.791759469228055,100.0,3,5-4,"Residencial ordinario, sin presión turística"
CEDRO SALAZAR,0,0,12,3588012.9966666666,12,11.0,8.3,100.0,0.0,0.0,2.5649493574615367,100.0,0,4-4,Foco turístico emergente
CENTRO ADMINISTRATIVO,11,0,12,3421379.5200000005,23,7.0,62.5,52.2,47.8,0.0,2.5649493574615367,0.0,1,8-6,"Residencial ordinario, sin presión turística"
